Year,biweekly,Station,ARCD,ARCS,ARFL,BDWF,CAPE,DLVN,FHSC,GRAY,HBWF,LSCS,NNSB,PCHG,PINK,RBSM,RDWF,SFCD,THSB
2007,2,220,444,428,1175,150,0,84,766,0,566,748,232,1,0,175,0,25,0
2007,2,230,111,185,307,644,0,35,360,3,14,77,412,0,0,110,13,18,0
2007,3,214,0,3715,283,323,0,121,213,2,41,152,98,0,0,113,5,15,1
2007,3,218,271,7919,689,84,3,95,744,0,48,556,296,2,1,232,0,248,2
2007,3,220,723,8673,630,24,29,123,953,0,125,554,357,2,0,169,0,72,7
2007,3,230,150,1877,273,237,0,37,333,9,0,20,420,1,0,75,168,34,5
2007,4,214,0,5255,118,251,0,788,148,1,4,30,93,0,0,16,0,10,3
2007,4,218,82,9149,230,25,3,191,1532,0,24,173,205,18,1,74,1,36,14
2007,4,220,44,3959,261,20,1,217,591,0,33,142,390,10,1,21,0,50,6
2007,4,230,8,494,291,222,0,107,537,35,1,12,126,1,0,28,78,15,4
2008,1,214,10,108,2296,1292,0,150,986,0,426,625,5,0,0,963,25,103,0
2008,1,218,1,22,886,68,0,175,1127,0,86,882,1,1,0,568,0,269,0
2008,1,220,16,25,782,106,0,112,503,0,546,990,0,0,0,138,1,70,0
2008,1,230,0,131,376,1773,0,62,1091,1,65,168,2,0,0,345,13,31,0
2008,2,214,47,47,1178,709,2,99,787,28,97,752,5,0,9,164,7,154,0
2008,2,218,21,73,1137,68,3,20,1097,1,202,535,6,3,16,298,0,788,0
2008,2,220,99,119,1113,51,9,48,672,1,270,1928,1,0,12,388,1,617,0
2008,2,230,24,123,650,1521,0,22,802,98,27,138,7,0,3,220,23,123,0
2008,3,214,4,1752,318,276,0,28,181,1,26,442,3,5,19,176,10,149,7
2008,3,218,38,1246,452,26,1,16,596,0,59,727,7,6,32,159,1,350,25
2008,3,220,112,3458,118,12,63,5,452,0,56,384,5,30,24,47,0,284,48
2008,3,230,5,1231,61,287,0,6,104,32,4,124,8,8,10,29,8,21,10
2008,4,214,52,3445,293,2173,0,950,624,3,47,193,7,5,72,116,2,82,17
2008,4,218,95,7690,228,93,4,212,535,0,100,354,4,39,37,94,1,422,4
2008,4,220,239,2852,49,43,8,153,793,0,72,241,6,9,43,133,1,696,9
2008,4,230,77,1769,60,1235,0,684,434,141,2,19,32,8,7,140,306,34,3
2009,1,214,15,1573,1177,1654,0,232,1137,1,33,428,0,1,0,358,5,187,0
2009,1,218,192,1124,611,636,0,725,1027,0,31,106,0,0,0,455,0,714,0
2009,1,220,9,116,68,26,0,38,219,0,13,142,0,0,0,18,0,9,0
2009,1,230,6,581,157,1367,0,18,259,1,2,23,0,0,0,185,4,8,0
2009,2,214,0,3024,607,1271,0,46,415,1,37,553,1,1,0,344,1,29,0
2009,2,218,61,1024,1758,78,11,94,1103,0,29,480,0,0,1,53,0,286,0
2009,2,220,77,1711,818,37,9,90,1044,0,228,2440,0,2,1,118,0,256,0
2009,2,230,1,1398,75,474,0,0,205,1,0,13,0,0,0,65,2,3,0
2009,3,214,7,4403,440,2003,0,193,1267,2,20,524,4,0,0,231,0,376,0
2009,3,218,233,7844,1126,33,3,35,1406,0,49,1101,3,24,0,256,0,2866,0
2009,3,220,89,9141,729,21,262,64,893,0,29,503,5,2,0,84,0,792,0
2009,3,230,10,3125,303,853,0,24,159,1,8,81,2,2,0,50,1,68,0
2009,4,214,63,5969,62,345,0,24,95,0,3,66,5,9,0,380,0,140,0
2009,4,218,56,3809,406,16,2,38,551,0,29,430,2,35,0,214,0,432,5
2009,4,220,16,1028,10,8,0,7,43,0,0,34,1,1,2,82,0,279,2
2009,4,230,55,1541,103,720,0,313,171,0,3,173,2,5,2,310,7,123,2
2010,1,214,0,486,465,564,0,96,656,0,49,217,0,0,0,283,6,17,0
2010,1,218,3,318,232,28,0,39,126,2,54,702,0,0,0,26,1,73,0
2010,1,230,0,223,213,455,0,167,359,5,211,1227,0,0,0,176,95,107,0
2010,2,214,1,1652,1196,2872,0,69,921,2,85,1509,0,0,0,171,18,41,0
2010,2,218,53,987,2265,1198,0,27,1431,9,125,2240,0,0,0,291,1,1162,0
2010,2,220,123,915,1029,234,0,89,696,9,281,1565,0,1,0,76,0,69,0
2010,2,230,8,846,663,1512,0,39,1009,1,90,555,0,0,0,118,16,32,0
2010,3,214,27,995,605,292,0,104,273,0,31,534,5,0,3,776,2,27,3
2010,3,218,38,243,1009,63,0,8,545,0,107,571,1,1,2,79,0,103,1
2010,3,220,91,500,198,105,1,52,444,0,132,487,0,0,5,54,0,24,3
2010,3,230,0,324,559,479,0,33,778,10,21,523,4,0,5,33,17,27,3
2010,4,214,5,325,144,252,0,261,122,7,16,71,2,0,1,133,11,11,3
2010,4,218,88,527,479,59,0,71,574,0,59,503,2,0,0,193,1,232,0
2010,4,220,380,284,417,100,0,132,835,1,121,326,2,0,1,38,0,408,0
2010,4,230,15,282,213,590,0,46,413,35,0,59,2,0,1,42,19,8,1
2011,1,214,0,329,400,357,0,10,168,1,123,716,0,0,0,51,4,1,0
2011,1,218,0,268,881,85,4,27,702,0,26,144,0,0,0,83,0,117,0
2011,1,220,7,318,504,91,0,142,274,0,307,489,0,0,0,31,0,98,0
2011,1,230,0,115,76,58,0,11,95,0,7,35,0,0,0,20,3,2,0
2011,2,214,7,722,648,203,2,34,782,0,68,1164,0,0,0,274,0,131,0
2011,2,218,79,383,1646,120,45,51,1299,0,88,1091,0,0,0,142,0,910,0
2011,2,220,147,230,353,57,1,13,291,0,73,334,0,0,0,65,0,71,0
2011,2,230,7,420,875,323,0,20,1154,3,87,89,0,1,0,22,3,18,0
2011,3,214,0,10760,172,126,0,211,142,0,28,436,1,4,0,111,13,11,0
2011,3,218,2,718,625,15,5,8,486,0,67,617,12,0,1,65,0,364,1
2011,3,220,179,7024,626,9,2,9,449,0,33,428,3,0,1,68,0,38,1
2011,3,230,0,2119,261,433,0,2,279,5,2,47,11,0,0,45,238,5,0
2011,4,214,1,7713,45,142,0,330,17,2,35,54,1,0,0,12,70,1,0
2011,4,218,0,8364,305,10,2,16,870,0,61,293,18,2,1,20,0,42,1
2011,4,220,0,3382,39,10,2,25,82,0,27,183,5,0,0,22,0,51,0
2011,4,230,0,1531,45,148,0,15,122,22,0,27,2,0,0,17,187,3,0
2012,1,214,5,321,1567,158,0,28,262,3,123,763,0,0,0,417,11,13,0
2012,1,218,3,122,794,70,0,45,205,1,53,665,0,0,0,65,1,43,0
2012,1,220,3,139,333,15,0,19,150,0,38,388,0,0,0,30,0,22,0
2012,1,230,2,361,308,208,0,88,359,3,160,277,0,0,0,160,31,9,0
2012,2,214,4,565,1216,3237,0,87,878,0,202,935,9,0,0,1857,5,191,0
2012,2,218,8,235,1156,740,0,15,696,0,195,2807,2,0,1,235,0,543,1
2012,2,220,53,1096,906,66,1,19,628,1,130,1786,0,1,0,86,1,79,0
2012,2,230,5,364,1115,3929,0,19,956,3,27,422,42,0,0,651,22,332,0
2012,3,214,10,180,1074,2078,0,21,446,1,26,298,14,0,0,860,0,245,4
2012,3,218,19,380,706,76,11,12,201,0,88,488,2,0,0,140,0,265,1
2012,3,220,49,234,582,75,3,5,789,0,74,461,8,1,0,166,0,227,10
2012,3,230,6,291,496,3391,0,9,254,9,13,279,28,0,0,141,156,202,0
2012,4,214,2,371,504,510,0,28,113,0,12,65,10,0,0,336,0,369,3
2012,4,218,10,1517,446,40,3,6,189,0,173,453,14,4,0,419,0,1431,2
2012,4,220,216,341,80,11,5,0,146,0,22,69,6,0,0,155,0,967,4
2012,4,230,16,166,201,1290,0,14,276,10,4,54,102,0,0,107,125,779,2
2013,1,214,0,272,691,749,0,137,402,1,149,144,12,0,0,1633,36,13,0
2013,1,218,9,129,1252,965,0,721,890,1,155,165,9,0,0,292,0,224,0
2013,1,220,30,92,455,271,0,83,131,1,208,330,0,0,0,106,0,102,0
2013,1,230,24,196,172,2373,0,48,207,1,54,93,1,0,0,880,20,39,0
2013,2,214,36,603,2271,5075,0,36,1359,0,182,757,7,1,0,909,32,1265,0
2013,2,218,124,287,2820,908,3,49,936,0,208,794,3,0,0,509,0,1895,0
2013,2,220,196,894,1205,676,0,31,355,0,223,1772,10,1,0,717,0,1152,0
2013,2,230,58,454,818,4014,0,21,547,0,103,517,10,0,0,546,20,1174,0
2013,3,214,7,1027,1693,1876,1,37,429,0,60,1039,92,0,1,2335,38,1227,8
2013,3,218,4,289,2470,154,1,4,722,0,118,1146,32,0,0,666,0,1078,1
2013,3,220,6,890,736,146,7,3,236,0,114,1174,104,1,0,432,0,547,0
2013,3,230,34,493,1270,5858,0,13,731,0,49,485,208,0,0,295,14,950,2
2013,4,214,1,135,99,361,0,108,96,0,12,255,6,0,0,40,6,11,0
2013,4,218,162,1027,817,190,20,25,624,0,177,1098,32,1,0,241,0,880,0
2013,4,220,4868,375,168,20,6,5,248,0,92,381,22,0,0,77,0,181,0
2013,4,230,29,246,361,1342,0,61,324,3,33,72,37,0,0,213,43,1781,2
2014,1,214,0,1856,1118,1187,0,375,756,1,383,528,9,0,0,943,45,306,0
2014,1,218,22,179,1046,748,0,287,1226,0,209,500,0,0,0,137,2,722,0
2014,1,220,0,497,472,218,0,179,205,1,419,633,1,0,0,88,0,115,0
2014,1,230,1,1901,259,2738,0,43,181,0,117,392,5,0,0,903,116,82,0
2014,2,214,8,1734,1539,1154,0,65,299,0,118,1607,3,0,0,294,26,366,0
2014,2,218,31,466,1833,158,3,16,909,1,237,1649,0,0,0,194,1,633,0
2014,2,220,58,981,449,119,0,11,286,3,161,1134,1,0,0,455,1,95,0
2014,2,230,3,737,307,1179,0,5,268,1,74,454,2,0,0,309,117,182,0
2014,3,214,3,592,217,830,0,461,39,3,87,284,11,0,4,293,44,44,3
2014,3,218,27,528,180,54,1,14,382,0,170,1332,0,0,0,70,1,89,0
2014,3,220,1308,1799,189,123,4,29,465,0,318,1635,10,2,0,267,4,136,3
2014,3,230,951,1247,70,1548,0,144,191,3,28,475,19,0,0,430,48,40,0
2014,4,214,882,1141,682,773,1,910,285,8,98,288,9,1,3,468,178,791,0
2014,4,218,256,937,311,215,1,46,225,3,179,1205,6,1,0,129,4,2290,0
2014,4,220,2008,986,44,57,2,56,492,0,104,517,9,0,1,63,1,429,0
2014,4,230,1614,1246,54,2039,0,37,170,7,4,59,37,0,0,33,73,61,0
2015,1,214,7,358,522,478,0,53,140,5,41,403,0,0,0,77,7,0,0
2015,1,218,0,533,1676,274,0,13,585,0,38,430,1,0,0,354,0,23,0
2015,1,220,10,298,163,156,0,12,74,0,81,381,1,0,0,56,0,10,0
2015,1,230,1,632,609,1063,0,10,463,5,42,363,2,0,0,789,41,18,0
2015,2,214,3,336,1611,940,0,227,598,4,58,410,3,0,0,422,25,62,0
2015,2,218,5,652,1628,196,0,38,425,4,131,881,0,0,0,265,1,124,0
2015,2,220,44,436,368,292,0,64,272,0,119,700,3,0,0,102,2,35,0
2015,2,230,16,214,414,1009,0,40,152,0,45,68,6,0,2,230,123,4,0
2015,3,214,41,110,420,352,0,175,54,0,59,111,43,0,2,411,11,27,0
2015,3,218,258,286,952,164,3,33,741,0,223,923,10,0,5,483,0,213,0
2015,3,220,1151,43,142,47,0,11,147,0,95,146,48,0,3,121,0,21,0
2015,3,230,38,147,134,340,0,60,148,2,15,180,39,0,2,230,95,78,0
2015,4,214,53,463,95,364,0,1063,63,6,86,67,42,0,7,114,25,41,0
2015,4,218,1317,562,65,79,7,182,377,0,49,591,19,0,4,262,0,114,0
2015,4,220,1384,214,21,74,5,229,123,0,47,227,26,0,0,20,0,34,0
2015,4,230,449,248,22,176,0,67,185,11,0,18,120,0,1,89,86,34,0
2016,1,214,2,1309,3101,841,0,7,1270,0,132,1714,1,1,0,814,32,113,0
2016,1,218,20,231,3131,173,0,68,441,0,448,946,1,1,0,140,0,157,0
2016,1,220,17,259,438,85,0,29,98,1,313,635,0,0,0,23,1,23,0
2016,1,230,13,1007,838,252,0,25,1400,0,61,491,1,0,0,1008,209,124,0
2016,2,214,20,304,635,407,0,15,63,1,15,222,5,1,2,127,1,30,6
2016,2,218,2370,349,2550,291,34,20,576,0,139,1327,80,4,0,89,0,158,22
2016,2,220,9033,378,524,87,11,31,296,1,110,669,44,8,0,63,0,67,12
2016,2,230,33088,320,654,2549,1,8,521,9,37,216,302,4,1,266,57,105,2
2016,3,214,12,143,210,1508,0,66,65,3,29,170,15,1,5,148,5,2,24
2016,3,218,21,222,303,86,9,13,379,2,82,721,18,1,4,252,0,144,20
2016,3,220,177,265,246,83,0,34,223,0,77,390,17,4,8,28,0,68,15
2016,3,230,1114,159,89,1679,2,20,159,1,17,277,147,2,1,311,53,22,3
2016,4,214,50,111,71,744,0,177,35,1,12,26,34,2,1,90,5,4,4
2016,4,218,44,255,139,99,8,20,417,1,70,307,49,7,2,152,0,462,7
2016,4,220,791,198,67,66,3,23,311,0,10,54,35,0,0,41,1,182,3
2016,4,230,556,106,62,5366,0,80,328,2,2,42,909,5,1,142,44,30,2
2017,1,214,251,306,3054,5551,0,14,954,1,59,249,3,0,0,549,171,109,0
2017,1,218,25,205,2801,1601,0,22,799,3,158,587,0,1,0,70,4,241,0
2017,1,220,697,193,734,295,0,41,416,2,226,971,0,0,0,91,3,134,0
2017,1,230,603,428,618,2131,0,314,330,0,86,112,5,0,0,994,139,58,0
2017,2,214,5,89,1308,2059,0,18,428,1,109,738,20,1,1,693,12,43,7
2017,2,218,43,128,1949,753,12,27,1676,1,177,632,2,5,1,330,6,137,4
2017,2,220,183,231,982,527,19,11,419,0,395,971,1,6,0,46,2,89,11
2017,2,230,81,348,632,2018,0,18,406,0,35,521,19,0,0,856,21,60,1
2017,3,214,0,39,1774,1158,0,11,166,0,35,170,24,11,4,442,1,219,6
2017,3,218,36,22,1211,161,2,3,360,0,71,331,19,1,1,51,0,177,1
2017,3,220,30,69,544,90,0,0,167,0,61,217,8,3,1,61,0,101,12
2017,3,230,35,126,463,841,0,8,794,6,38,375,179,5,6,147,118,124,2
2017,4,214,0,118,115,1207,0,156,92,5,47,382,4,3,7,99,23,7,3
2017,4,218,2,392,98,143,8,9,275,1,109,473,17,1,2,183,0,50,0
2017,4,220,13,217,99,135,1,17,651,1,34,157,14,3,5,33,0,253,6
2017,4,230,4,70,104,675,0,15,531,81,11,37,78,0,3,24,200,20,1
2018,1,214,0,1338,818,236,0,10,505,1,53,154,0,0,0,534,13,122,0
2018,1,220,1,26,90,29,0,17,151,0,56,90,0,0,0,5,7,12,0
2018,1,230,0,421,86,401,0,100,245,0,30,34,1,0,0,217,44,25,0
2018,2,214,1,786,2209,1415,0,4,532,0,15,225,5,0,0,1155,24,115,0
2018,2,218,6,1191,3297,1543,0,30,1152,0,201,3164,1,1,1,301,25,615,0
2018,2,220,36,418,502,289,0,33,353,1,156,739,0,1,0,54,32,221,0
2018,2,230,1,865,99,433,0,2,141,0,42,305,4,0,0,205,77,7,0
2018,3,214,92,2491,1732,2303,1,89,341,0,71,1630,23,2,4,1905,164,471,10
2018,3,218,55,447,893,544,2,32,575,2,154,1097,0,1,1,305,15,514,4
2018,3,220,118,291,214,344,0,8,361,0,74,363,1,1,0,49,45,59,5
2018,3,230,14,1752,106,637,0,9,148,0,17,356,14,0,0,271,27,123,3
2018,4,214,380,173,88,229,0,663,34,3,16,82,60,0,0,30,15,89,1
2018,4,218,10979,625,330,127,4,342,666,0,236,1566,84,0,16,375,6,268,18
2018,4,220,1548,763,67,124,3,205,456,0,106,567,59,0,0,67,4,156,10
2018,4,230,20,585,18,594,0,351,81,6,16,42,17,0,0,282,81,34,1
